id;question;predicate;subject
18670;What soccer position does matt heath play;http://dbpedia.org/ontology/position;http://dbpedia.org/resource/Matt_Heath
01171;which municipality of Puerto Rico is bobby valentin fmor;http://dbpedia.org/ontology/hometown;http://dbpedia.org/resource/Bobby_Valentín
66847;where was marie-jacques perrier deceased?;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Marie-Jacques_Perrier
23623;which genre of music does dave clarke (techno dj) belong to?;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Dave_Clarke_(DJ)
36984;what kind of book is the spirit of the age?;http://dbpedia.org/ontology/literaryGenre;http://dbpedia.org/resource/The_Spirit_of_the_Age
14737;where did andrew loog oldham get his musical start;http://dbpedia.org/ontology/hometown;http://dbpedia.org/resource/Andrew_Loog_Oldham
73485;what record label is scott danough with?;http://dbpedia.org/ontology/recordLabel;http://dbpedia.org/resource/Scott_Danough
38736;where did zlatko manojlovic get its start;http://dbpedia.org/ontology/hometown;http://dbpedia.org/resource/Zlatko_Manojlović
67133;What is the genre of the album alise?;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Alise_(album)
02589;who was the director of the movie money for speed;http://dbpedia.org/ontology/director;http://dbpedia.org/resource/Money_for_Speed
57266;what is the genre of the artist sergio mendes;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Sérgio_Mendes
02319;what is the genre of the artist g. love & special sauce?;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/G._Love_&_Special_Sauce
46440;what genre does kid 606 perform in;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Kid606
23086;where did johnny gruelle die;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Johnny_Gruelle
67652;what label is soda stereo under;http://dbpedia.org/ontology/recordLabel;http://dbpedia.org/resource/Soda_Stereo
49599;what type of fiction was the book the omnibus of time;http://dbpedia.org/ontology/literaryGenre;http://dbpedia.org/resource/The_Omnibus_of_Time
64221;what style of music is the band gorilla biscuits in?;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Gorilla_Biscuits
34810;which english city was david buck born in;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/David_Buck
59938;who wrote la reine margot;http://dbpedia.org/ontology/author;http://dbpedia.org/resource/La_Reine_Margot_(novel)
41954;what kind of artist is arturo meza;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Arturo_Meza
63057;what county is union street historic district in;http://dbpedia.org/ontology/location;http://dbpedia.org/resource/Union_Street_Historic_District_(Poughkeepsie,_New_York)
74924;Where was bruce catton born;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Bruce_Catton
40444;where did johann raithel die;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Johann_Raithel
41946;which football position is laurence wilson charged of;http://dbpedia.org/ontology/position;http://dbpedia.org/resource/Laurence_Wilson
16761;did emil stang die in oslo or helsinki;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Emil_Stang
32963;Who wrote the pigman & me?;http://dbpedia.org/ontology/author;http://dbpedia.org/resource/The_Pigman_&_Me
20084;Where in asia was sam yoon born;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Sam_Yoon
55166;what music style is a touch of class;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/A_Touch_of_Class_(band)
22757;what time zone is carbondale in;http://dbpedia.org/ontology/timeZone;http://dbpedia.org/resource/Carbondale,_Kansas
07507;where did andy thompson pass away;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Andy_Thompson_(footballer,_born_1899)
15073;which city is sam houston race park located in?;http://dbpedia.org/ontology/location;http://dbpedia.org/resource/Sam_Houston_Race_Park
61207;what position is billy lynn in football;http://dbpedia.org/ontology/position;http://dbpedia.org/resource/Billy_Lynn
18134;Where was fritz hohn born;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Fritz_Höhn
16733;Where is the charles s. schultz house?;http://dbpedia.org/ontology/location;http://dbpedia.org/resource/Charles_S._Shultz_House
54036;Who directed russian rhapsody?;http://dbpedia.org/ontology/director;http://dbpedia.org/resource/Russian_Rhapsody_(film)
14869;What genre is the album young and rich from;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Young_and_Rich
41943;who is the story of a far off place accredited to;http://dbpedia.org/ontology/writer;http://dbpedia.org/resource/A_Far_Off_Place
24091;What baseball position does charlie maloney play?;http://dbpedia.org/ontology/position;http://dbpedia.org/resource/Charlie_Maloney
14314;what position does takashi amano play;http://dbpedia.org/ontology/position;http://dbpedia.org/resource/Takashi_Amano_(footballer)
65210;Where was xuan xuan born?;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Ady_An
44659;what kind of music is on the album more echoes, touching air landscape?;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/More_Echoes,_Touching_Air_Landscape
22947;where did john colborne, 1st baron seaton pass away;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/John_Colborne,_1st_Baron_Seaton
07750;where was kiran janjani born;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Kiran_Janjani
22066;which city is jay dee daugherty from;http://dbpedia.org/ontology/hometown;http://dbpedia.org/resource/Jay_Dee_Daugherty
15843;What kind of music does roman holiday record?;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Roman_Holiday_(band)
54911;where was randy white born;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Randy_White_(basketball)
58852;What style of music does flowerhead record?;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Flowerhead
68253;which city was deathchain founded;http://dbpedia.org/ontology/hometown;http://dbpedia.org/resource/Deathchain
24494;where was the birthplace of christian holst;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Christian_Holst
57302;what type of music does jimmy webb make;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Jimmy_Webb
51407;what time zone is burdett in?;http://dbpedia.org/ontology/timeZone;http://dbpedia.org/resource/Burdett,_Alberta
27154;Who was the executive producer on titan a.e.?;http://dbpedia.org/ontology/producer;http://dbpedia.org/resource/Titan_A.E.
10087;delilah  is an artist under what label;http://dbpedia.org/ontology/recordLabel;http://dbpedia.org/resource/Delilah_(musician)
74937;What country was daniel feret born in?;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Daniel_Féret
53801;what language is shake rattle & roll x in;http://dbpedia.org/ontology/language;http://dbpedia.org/resource/Shake,_Rattle_&_Roll_X
36365;what style of rock music is played in the nine reasons to say goodbye album;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Nine_Reasons_to_Say_Goodbye
42090;where is anatoliy vlasichev from;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Anatoliy_Vlasichev
06969;what time zone is white earth in;http://dbpedia.org/ontology/timeZone;http://dbpedia.org/resource/White_Earth,_North_Dakota
38124;what position does duncan forbes play in football;http://dbpedia.org/ontology/position;http://dbpedia.org/resource/Duncan_Forbes_(footballer)
69267;what is baseball player joe borden's position;http://dbpedia.org/ontology/position;http://dbpedia.org/resource/Joe_Borden
46405;What is the label that trisha yearwood is under?;http://dbpedia.org/ontology/recordLabel;http://dbpedia.org/resource/Trisha_Yearwood
66228;what type of music is tennis;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Tennis_(band)
47005;Which country is fort amherst located in;http://dbpedia.org/ontology/location;http://dbpedia.org/resource/Fort_Amherst
19042;what is the origin of so they say?;http://dbpedia.org/ontology/hometown;http://dbpedia.org/resource/So_They_Say
05759;what was the original language the death of bunny munro was filmed in;http://dbpedia.org/ontology/language;http://dbpedia.org/resource/The_Death_of_Bunny_Munro
46709;Which position does nick bolkovac play;http://dbpedia.org/ontology/position;http://dbpedia.org/resource/Nick_Bolkovac
41820;What genre of music does joel madden make?;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Joel_Madden
23486;Axel Cedric Konan was born where?;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Axel_Cédric_Konan
36904;What genre of music is on the album volta;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Volta_(album)
02766;where in france did  renee carl die;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Renée_Carl
11660;Who was the executive producer of casino royale;http://dbpedia.org/ontology/producer;http://dbpedia.org/resource/Casino_Royale_(2006_film)
07422;where was beniamina kaintikuaba born;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Beniamina_Kaintikuaba
13126;Where was don cameron born;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Don_Cameron_(balloonist)
27893;whats salem's time zone;http://dbpedia.org/ontology/timeZone;http://dbpedia.org/resource/Salem,_Connecticut
38085;what position does  slavko pavletic play;http://dbpedia.org/ontology/position;http://dbpedia.org/resource/Slavko_Pavletić
34044;What country does alain souchon belong to;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Alain_Souchon
59934;what type of program is the barchester chronicles?;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/The_Barchester_Chronicles
56290;which genre does the artist tosin abasi perform in;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Tosin_Abasi
60904;where was sonny werblin brought into the world;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Sonny_Werblin
14763;what type of videogame is draglade;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Draglade
32997;Where was johannes brandt's place of death?;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Johannes_Brandt
36262;Where in Asia was cheung sai ho born?;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Cheung_Sai_Ho
00286;What genre is the tv program code lyoko;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Code_Lyoko
46867;what kind of book is the autumn castle;http://dbpedia.org/ontology/literaryGenre;http://dbpedia.org/resource/The_Autumn_Castle
14351;dajas book was written in which language?;http://dbpedia.org/ontology/language;http://dbpedia.org/resource/Daja's_Book
07454;Who directed the film tweet and lovely;http://dbpedia.org/ontology/director;http://dbpedia.org/resource/Tweet_and_Lovely
57867;What position does sergei monia play in basketball;http://dbpedia.org/ontology/position;http://dbpedia.org/resource/Sergei_Monia
49225;what is the genre of transport;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Transport_(band)
46186;what kinds of book is in the grip of winter;http://dbpedia.org/ontology/literaryGenre;http://dbpedia.org/resource/In_the_Grip_of_Winter
65129;what country was the birthplace of randor bierd;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Randor_Bierd
65423;where is oren safdie's place of birth;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Oren_Safdie
48016;where did lajos Oze shuffle off the mortal coil;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Lajos_Őze
61036;what is the genre of six years home;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Six_Years_Home
35575;Where did jack mower die;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Jack_Mower
07470;What type of genre is impostor;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Impostor_(TV_series)
15065;where was genc mehmeti born;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Genc_Mehmeti
67015;where in the world did pedro sienna die;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Pedro_Sienna
28840;What position does alan osorio da costa silva play;http://dbpedia.org/ontology/position;http://dbpedia.org/resource/Alan_Osório_da_Costa_Silva
43680;What language is hostage for a day in?;http://dbpedia.org/ontology/language;http://dbpedia.org/resource/Hostage_for_a_Day
32143;where did gusztav partos pass away?;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Gusztáv_Pártos
16872;what kind of music is on combat rock?;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Combat_Rock
50192;who directed shakespeare in love;http://dbpedia.org/ontology/director;http://dbpedia.org/resource/Shakespeare_in_Love
03339;Which city in Scotland did aztec camera come from?;http://dbpedia.org/ontology/hometown;http://dbpedia.org/resource/Aztec_Camera
29693;where was moritz traube deceased;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Moritz_Traube
