question;predicate
which movie is written by pat proft;http://dbpedia.org/ontology/writer
which city was paul wittich born;http://dbpedia.org/ontology/birthPlace
what position does chris carter play in baseball;http://dbpedia.org/ontology/position
What kind of music was in american beauty;http://dbpedia.org/ontology/genre
What is the name of an album that has dance music on it;http://dbpedia.org/ontology/genre
what kind of music did ketty lester make?;http://dbpedia.org/ontology/genre
who is a dj from kingston;http://dbpedia.org/ontology/birthPlace
Which australian singer was born in benalla?;http://dbpedia.org/ontology/birthPlace
who is the composer of crazy on you?;http://dbpedia.org/ontology/writer
What position does football player Ian Marshall play?;http://dbpedia.org/ontology/position
Which genre of music does the legendary pink dots make;http://dbpedia.org/ontology/genre
what kind of book is the ghost pirates?;http://dbpedia.org/ontology/literaryGenre
who was born in glasgow?;http://dbpedia.org/ontology/birthPlace
who wrote the story for aliens (film);http://dbpedia.org/ontology/writer
where in somalia is mohammed awale liban from;http://dbpedia.org/ontology/birthPlace
who was the author of a voyage to arcturus?;http://dbpedia.org/ontology/author
Which city did amick byram originate in;http://dbpedia.org/ontology/hometown
what kind of album is know by heart;http://dbpedia.org/ontology/genre
What is the genre of the album ism;http://dbpedia.org/ontology/genre
which city was william grant stairs born;http://dbpedia.org/ontology/birthPlace
what game genre is sengoku?;http://dbpedia.org/ontology/genre
what position did ed edelen play in baseball?;http://dbpedia.org/ontology/position
Name someone who was born in roha;http://dbpedia.org/ontology/birthPlace
what albums is a type of punk rock?;http://dbpedia.org/ontology/genre
what kind of music does mouth music perform;http://dbpedia.org/ontology/genre
In what city was wolfgang pauli born?;http://dbpedia.org/ontology/birthPlace
what type of music does bright ideas make;http://dbpedia.org/ontology/genre
What author wrote by heresies distressed?;http://dbpedia.org/ontology/author
where did joseph farnham die;http://dbpedia.org/ontology/deathPlace
Which type of music does kovas play;http://dbpedia.org/ontology/genre
who wrote the enemy inside?;http://dbpedia.org/ontology/writer
Where was hamish maccunn when he died;http://dbpedia.org/ontology/deathPlace
what type of music is freedom together!?;http://dbpedia.org/ontology/genre
what is the name of an indie rock band from england;http://dbpedia.org/ontology/genre
What genre of music does chris ivanovich create;http://dbpedia.org/ontology/genre
which position does shawn loiseau play;http://dbpedia.org/ontology/position
What is the name of a progressive rock album?;http://dbpedia.org/ontology/genre
What record label is screw 32 signed to;http://dbpedia.org/ontology/recordLabel
Name someone born in anacortes, washington;http://dbpedia.org/ontology/birthPlace
what is the genre of the scientists;http://dbpedia.org/ontology/genre
is the creature of black water lake a fiction or non-fiction book;http://dbpedia.org/ontology/literaryGenre
who wrote salvador;http://dbpedia.org/ontology/author
in what austrian city was david flusser born;http://dbpedia.org/ontology/birthPlace
which position in football does james develin play;http://dbpedia.org/ontology/position
What is the name of a alternative rock album;http://dbpedia.org/ontology/genre
Name an album from the rock music genre;http://dbpedia.org/ontology/genre
Does dermot drummy play forward or midfielder;http://dbpedia.org/ontology/position
where in italy did pope hilarius die;http://dbpedia.org/ontology/deathPlace
What is the name of a hard rock album;http://dbpedia.org/ontology/genre
what language was wedge: the secret war between the fbi and cia originally in;http://dbpedia.org/ontology/language
What record company does kurupt belong to;http://dbpedia.org/ontology/recordLabel
What is an album within the indie rock genre?;http://dbpedia.org/ontology/genre
what position does carson palmer play;http://dbpedia.org/ontology/position
the the mofo project/object album contains what kind of music?;http://dbpedia.org/ontology/genre
what type of video game is marathon infinity;http://dbpedia.org/ontology/genre
what hockey position does erik johnson play;http://dbpedia.org/ontology/position
What's an animation title;http://dbpedia.org/ontology/genre
which country is dsideofficial from;http://dbpedia.org/ontology/hometown
which canadian state was harry jackman born in;http://dbpedia.org/ontology/birthPlace
where did kevin cadogan get his start;http://dbpedia.org/ontology/hometown
who authored a year with swollen appendices;http://dbpedia.org/ontology/author
what film did mark damon produce;http://dbpedia.org/ontology/producer
What kind of music is coming home jamaica;http://dbpedia.org/ontology/genre
what kinds of music is the crai-eps 1993/1994;http://dbpedia.org/ontology/genre
Who directed footloose (1984 film);http://dbpedia.org/ontology/director
What kind of video games is x-zone;http://dbpedia.org/ontology/genre
what kind of music does alexiamikis make;http://dbpedia.org/ontology/genre
what country is Dam vinh hung from;http://dbpedia.org/ontology/birthPlace
Name a  rock music artist;http://dbpedia.org/ontology/genre
which country was aaron harrison born;http://dbpedia.org/ontology/birthPlace
who plays reggaeton;http://dbpedia.org/ontology/genre
what type of game is zatch bell! mamodo fury;http://dbpedia.org/ontology/genre
Name a person born in Tacloban, Phillipines;http://dbpedia.org/ontology/birthPlace
Where was sir max aitken, 2nd baronet born;http://dbpedia.org/ontology/birthPlace
Where does wwl-tv air?;http://dbpedia.org/ontology/location
Where was jill whelan born;http://dbpedia.org/ontology/birthPlace
what book is fiction?;http://dbpedia.org/ontology/literaryGenre
Who is an artist that was signed to cbs;http://dbpedia.org/ontology/recordLabel
what city was karen kavaleryan born in;http://dbpedia.org/ontology/birthPlace
what is the language spoken in palletoori monagadu?;http://dbpedia.org/ontology/language
Name an artist from sony music entertainment.;http://dbpedia.org/ontology/recordLabel
what was lyman hall's place of birth;http://dbpedia.org/ontology/birthPlace
which city was zygmunt solorz-Zak originally from;http://dbpedia.org/ontology/birthPlace
Which Orioles pitcher was born in bellevue?;http://dbpedia.org/ontology/birthPlace
what position is lorenzo faravelli charged of;http://dbpedia.org/ontology/position
what game is considered a shooter game?;http://dbpedia.org/ontology/genre
Where is michael steven buble from?;http://dbpedia.org/ontology/birthPlace
what city was antonio de la gandara born in;http://dbpedia.org/ontology/birthPlace
Where was sebastian brunner born;http://dbpedia.org/ontology/birthPlace
which nina sky member was born in queens?;http://dbpedia.org/ontology/birthPlace
what is the genre in which the artist paint performs in;http://dbpedia.org/ontology/genre
what type of music is a peleja do diabo com o dono do ceu;http://dbpedia.org/ontology/genre
 which language is used in halik sa apoy;http://dbpedia.org/ontology/language
which field guide books that contains animals?;http://dbpedia.org/ontology/literaryGenre
what kind of music is played in the in a warzone album;http://dbpedia.org/ontology/genre
where did abd al-malik ibn marwan die?;http://dbpedia.org/ontology/deathPlace
whats the language spoken in jodhaa akbar;http://dbpedia.org/ontology/language
what is the feature film by h. rider haggard;http://dbpedia.org/ontology/writer
Where was alfredo bryce born;http://dbpedia.org/ontology/birthPlace
what movie was written by martin flavin;http://dbpedia.org/ontology/writer
who composed shade;http://dbpedia.org/ontology/writer
where was ali hewson born?;http://dbpedia.org/ontology/birthPlace
what film did adam busch direct;http://dbpedia.org/ontology/director
What position did paul slane play;http://dbpedia.org/ontology/position
which southern city was jeff brantley born in;http://dbpedia.org/ontology/birthPlace
Who wrote the book bee season;http://dbpedia.org/ontology/author
