question;predicate
who is the record label of the artist thelonious monk?;http://dbpedia.org/ontology/recordLabel
who directed deadlock;http://dbpedia.org/ontology/director
Who was born in indianapolis;http://dbpedia.org/ontology/birthPlace
who wrote the film igby goes down;http://dbpedia.org/ontology/writer
where was frank cornish, jr. born;http://dbpedia.org/ontology/birthPlace
What is the name of an interactive fiction game?;http://dbpedia.org/ontology/genre
which city was deathchain founded;http://dbpedia.org/ontology/hometown
who directed ellam avan seyal;http://dbpedia.org/ontology/director
what is the dominant genre of is this it;http://dbpedia.org/ontology/genre
What language is the film Veerappu in?;http://dbpedia.org/ontology/language
Which artist are considered bubblegum pop;http://dbpedia.org/ontology/genre
waynesboro belongs to what timezone;http://dbpedia.org/ontology/timeZone
What type of music does chaka khan write;http://dbpedia.org/ontology/genre
Where did edward pincus die;http://dbpedia.org/ontology/deathPlace
what style of music is the album suburban kid in?;http://dbpedia.org/ontology/genre
What genre is the pharcyde?;http://dbpedia.org/ontology/genre
what baseball position did twink twining play;http://dbpedia.org/ontology/position
What is Adam Guzinski's nationality?;http://dbpedia.org/ontology/birthPlace
which soccer position does george marks play;http://dbpedia.org/ontology/position
where is maplewood hotel;http://dbpedia.org/ontology/location
who was born in bergen?;http://dbpedia.org/ontology/birthPlace
who was born in queens?;http://dbpedia.org/ontology/birthPlace
what is an example of a city that can be found in  north american central time zone;http://dbpedia.org/ontology/timeZone
which position did mentor zhubi play;http://dbpedia.org/ontology/position
what type of computer system is derive;http://dbpedia.org/ontology/genre
is the life and adventures of joaquin murieta fiction or non-fiction;http://dbpedia.org/ontology/literaryGenre
Who was born in oslo?;http://dbpedia.org/ontology/birthPlace
Who's an actress born in cuba;http://dbpedia.org/ontology/birthPlace
which gigolo aunts album has rock music on it;http://dbpedia.org/ontology/genre
What genre is the album cold day memory?;http://dbpedia.org/ontology/genre
what is a speculative fiction book?;http://dbpedia.org/ontology/literaryGenre
what book was written by rabindranath tagore?;http://dbpedia.org/ontology/author
What is the nationality of ettore petrolini;http://dbpedia.org/ontology/birthPlace
what Italian-American pianist does rca promote;http://dbpedia.org/ontology/recordLabel
What genre of music is analog bubblebath, volume 2;http://dbpedia.org/ontology/genre
what program is classified as a  thriller (genre);http://dbpedia.org/ontology/genre
what type of music does pocahaunted play?;http://dbpedia.org/ontology/genre
Who's a pop punk group from orange county;http://dbpedia.org/ontology/genre
which football position is george ogararu charged of;http://dbpedia.org/ontology/position
what topic is discussed in the book of lies (crowley);http://dbpedia.org/ontology/literaryGenre
who is the starting pitcher for the bluejays;http://dbpedia.org/ontology/position
what artist is on the record label byo records?;http://dbpedia.org/ontology/recordLabel
the boondock saints was produced by which deceased director?;http://dbpedia.org/ontology/producer
which town in Massachusetts is the birthplace of dustin watchman?;http://dbpedia.org/ontology/birthPlace
which work of fiction was written by tom robbins?;http://dbpedia.org/ontology/literaryGenre
What type of film is la folie du docteur tube?;http://dbpedia.org/ontology/language
what is the origin of black obelisk;http://dbpedia.org/ontology/hometown
what kind of music is on best of '81 to '85?;http://dbpedia.org/ontology/genre
Who produced silkwood?;http://dbpedia.org/ontology/producer
what is one of the songs tori amos has written;http://dbpedia.org/ontology/writer
What nation is fredrik thordendal originally from?;http://dbpedia.org/ontology/hometown
what is the nationality of ella van heemstra;http://dbpedia.org/ontology/birthPlace
What is a song in which neil peart wrote the lyrics to?;http://dbpedia.org/ontology/writer
Where was gedeon raday born?;http://dbpedia.org/ontology/birthPlace
what type of genre does the face the nation belong to?;http://dbpedia.org/ontology/genre
what country gives nationality to prince aimone, duke of aosta;http://dbpedia.org/ontology/birthPlace
what position did johnny warren play;http://dbpedia.org/ontology/position
What is serjik teymourian's soccer position;http://dbpedia.org/ontology/position
what's an art rock album;http://dbpedia.org/ontology/genre
Where was river phoenix born;http://dbpedia.org/ontology/birthPlace
where was levon helm born?;http://dbpedia.org/ontology/birthPlace
what's the name of a band signed to reprise records;http://dbpedia.org/ontology/recordLabel
what genre is the album hate culture under?;http://dbpedia.org/ontology/genre
which language is used by the sherpa people;http://dbpedia.org/ontology/language
what time zone is lessor in;http://dbpedia.org/ontology/timeZone
