question;predicate
which album contains drone music;http://dbpedia.org/ontology/genre
where was phil amato born?;http://dbpedia.org/ontology/birthPlace
where was oscar cullmann first introduced to the world;http://dbpedia.org/ontology/birthPlace
where was ali hewson born?;http://dbpedia.org/ontology/birthPlace
who is the compose of daddy sang bass?;http://dbpedia.org/ontology/writer
what city did gordon gould die in;http://dbpedia.org/ontology/deathPlace
Who is a latin artist;http://dbpedia.org/ontology/genre
What's an example of a grunge album;http://dbpedia.org/ontology/genre
what artist makes rhythm and blues music?;http://dbpedia.org/ontology/genre
Which city was john mcmanners in when he died;http://dbpedia.org/ontology/deathPlace
What is the name of a game show?;http://dbpedia.org/ontology/genre
Who was the composer of stone gossard?;http://dbpedia.org/ontology/writer
Who is a rhythm and blues artist?;http://dbpedia.org/ontology/genre
What's an example of a rock music album;http://dbpedia.org/ontology/genre
What movie is rudyard kipling credited as a story contributor for;http://dbpedia.org/ontology/writer
what album is considered hardcore punk?;http://dbpedia.org/ontology/genre
What genre is piel de angel;http://dbpedia.org/ontology/genre
where was david gamkrelidze born at?;http://dbpedia.org/ontology/birthPlace
Where was kenneth dement born?;http://dbpedia.org/ontology/birthPlace
where was sidi ould cheikh abdallahi born?;http://dbpedia.org/ontology/birthPlace
Who was born in glasgow?;http://dbpedia.org/ontology/birthPlace
Where did gene sarazen die;http://dbpedia.org/ontology/deathPlace
what type of music does pamela racine make;http://dbpedia.org/ontology/genre
where was ray stricklyn given birth;http://dbpedia.org/ontology/birthPlace
what is a main touristic place in jamaica;http://dbpedia.org/ontology/location
What is the nationality of toyohiko kagawa?;http://dbpedia.org/ontology/birthPlace
what kinds of videogame is final fantasy ii;http://dbpedia.org/ontology/genre
What kind of music is the album motown remixed?;http://dbpedia.org/ontology/genre
what is elton watkins's final resting place;http://dbpedia.org/ontology/deathPlace
What type of artist is mark wilson;http://dbpedia.org/ontology/genre
where was canuplin's place of death;http://dbpedia.org/ontology/deathPlace
What is the genre of the album paradise lost?;http://dbpedia.org/ontology/genre
Where did ignacio chavez sanchez die?;http://dbpedia.org/ontology/deathPlace
Who was born in mercia?;http://dbpedia.org/ontology/birthPlace
What genre of music does mstrkrft produce;http://dbpedia.org/ontology/genre
Name an ambient music album.;http://dbpedia.org/ontology/genre
where was richard bausch born;http://dbpedia.org/ontology/birthPlace
who is an example of a dubstep artist;http://dbpedia.org/ontology/genre
which album is  rock and roll;http://dbpedia.org/ontology/genre
What sort of music does doctors of madness play;http://dbpedia.org/ontology/genre
Name an album from the art rock genre;http://dbpedia.org/ontology/genre
what types of music is played by dj micro;http://dbpedia.org/ontology/genre
Who is a notable person that was born in pori;http://dbpedia.org/ontology/birthPlace
does antonello venditti play pop music or opera;http://dbpedia.org/ontology/genre
